DATE,RETAILIMNSA
2018-07-01,624399
2018-08-01,632873
2018-09-01,646324
2018-10-01,676724
2018-11-01,678770
2018-12-01,647917
2019-01-01,654926
2019-02-01,661688
2019-03-01,661584
2019-04-01,665197
2019-05-01,661629
2019-06-01,656958
2019-07-01,653496
2019-08-01,654655
2019-09-01,669709
2019-10-01,697190
2019-11-01,694505
2019-12-01,654436
2020-01-01,657239
2020-02-01,658135
2020-03-01,668331
2020-04-01,643641
2020-05-01,597665
2020-06-01,579705
2020-07-01,580499
2020-08-01,585973
2020-09-01,610742
